Attribute Synonym,Parent Entity Synonym,Attribute ID,Parent Entity ID,ECCAIRS Datatype,UM default,Valuelist ID,Special Attribute ID,Min Instances,Max Instances,Attribute Sequence
Part_Name,Part_Information,485,26,1,,,,0,1,0
Part_Number,Part_Information,486,26,1,,,,0,1,1
Serial_Number,Part_Information,657,26,1,,,,0,1,2
Manufacturer,Part_Information,658,26,12,,VL1046_12_0_1_1,,0,1,3
ATA_Chapter_Number,Part_Information,659,26,12,,VL1006_12_11000000_1_4,,0,1,4
Time_Since_New,Part_Information,660,26,4,1201,,,0,1,5
Time_Since_Overhaul,Part_Information,661,26,4,1201,,,0,1,6
Time_Since_Inspection,Part_Information,662,26,4,1201,,,0,1,7
Cycles_Since_New,Part_Information,663,26,3,,,,0,1,8
Cycles_Since_Overhaul,Part_Information,664,26,3,,,,0,1,9
Cycles_Since_Insp,Part_Information,665,26,3,,,,0,1,10
Date_Of_Manufacturing,Part_Information,666,26,14,,,,0,1,11
Date_Of_Overhaul,Part_Information,667,26,14,,,,0,1,12
Date_Repair_Insp,Part_Information,668,26,14,,,,0,1,13
Make_Of_Propeller,Propeller,492,29,12,,VL1019_12_0_1_1,,0,1,0
Propeller_Model,Propeller,493,29,1,,,,0,1,1
Prop_Serial,Propeller,893,29,1,,,,0,1,2
ATA_Chapter_Involved,Propeller,894,29,12,,VL1006_12_11000000_1_4,,0,1,3
Prop_Position,Propeller,895,29,3,,,,0,1,4
Prop_Involvement,Propeller,896,29,5,,VL1135_5_0_1_2,,0,1,5
Time_Since_New,Propeller,899,29,4,1201,,,0,1,6
Time_Since_Overhaul,Propeller,900,29,4,1201,,,0,1,7
Time_Since_Inspection,Propeller,901,29,4,1201,,,0,1,8
Cycles_Since_New,Propeller,902,29,3,,,,0,1,9
Cycles_Since_Overh,Propeller,903,29,3,,,,0,1,10
Cycles_Since_Insp,Propeller,904,29,3,,,,0,1,11
Date_Of_Manufacturing,Propeller,905,29,14,,,,0,1,12
Date_Of_Overhaul,Propeller,906,29,14,,,,0,1,13
Date_Repair_Insp,Propeller,907,29,14,,,,0,1,14
Hazardous_Prop_Effects,Propeller,946,29,5,,VL1144_5_0_1_1,,0,1,15
APW_Alerting,Air_Navigation_Service,363,10,5,,VL363_5_0_1_1,,0,1,0
RIMCAS_Alerting,Air_Navigation_Service,366,10,5,,VL366_5_0_1_1,,0,1,1
MSAW_Current_Alerting,Air_Navigation_Service,369,10,5,,VL369_5_0_1_1,,0,1,2
ANSP_Name,Air_Navigation_Service,372,10,1,,,,0,1,3
STCA_Current_Alerting,Air_Navigation_Service,379,10,5,,VL379_5_0_1_1,,0,1,4
Sector_Name,Sector,526,33,1,,,,0,1,0
Services_Provided,Sector,527,33,5,,VL1003_5_0_1_4,,0,-1,1
Workload_Controller,Sector,559,33,5,,VL559_5_0_1_1,,0,1,2
RTF_Frequency,Sector,619,33,4,2301,,,0,1,3
CISM_Offered,ATM_Staff,340,9,5,,VL340_5_0_1_1,,0,1,0
Duty_Time_In_Position,ATM_Staff,347,9,4,1201,,,0,1,1
Category,ATM_Staff,357,9,5,,VL357_5_0_1_1,,0,1,2
Event_Type,Events,390,14,5,,VL1009_5_0_1_5,,0,1,0
Phase,Events,391,14,5,,VL1088_5_0_1_4,,0,1,1
Phenomenon_Intensity,Precipitation_And_Other_Weather_Phenomena,230,28,5,,VL230_5_0_1_1,,0,1,0
Phenomenon_Type,Precipitation_And_Other_Weather_Phenomena,299,28,5,,VL299_5_0_1_2,,0,-1,1
Horizontal_Rel_Mvmt,Separation,570,34,5,,VL570_5_0_1_1,,0,1,0
Military_A_C_Involved,Separation,574,34,5,,VL574_5_0_1_1,,0,1,1
Est_Minimum_Horiz_Sep,Separation,575,34,4,2201,,,0,1,2
Req_Minimum_Horiz_Sep,Separation,577,34,4,2201,,,0,1,3
Min_Horiz_Sep_Rec,Separation,579,34,4,2201,,,0,1,4
Est_Vert_Separation,Separation,581,34,4,2001,,,0,1,5
Req_Vert_Separation,Separation,583,34,4,2001,,,0,1,6
Vertical_Sep_Recorded,Separation,585,34,4,2001,,,0,1,7
Rate_Of_Closure,Separation,588,34,4,401,,,0,1,8
ATM_Action,Separation_Aircraft,565,35,5,,VL565_5_0_1_1,,0,1,0
A_C_Avoiding_Action,Separation_Aircraft,566,35,5,,VL566_5_0_1_1,,0,1,1
Other_Aircraft_Seen,Separation_Aircraft,587,35,5,,VL587_5_0_1_1,,0,1,2
Risk_Reduction_A_C,Separation_Aircraft,591,35,5,,VL591_5_0_1_1,,0,1,3
Height_Altitude,Separation_Aircraft,597,35,4,2001,,,0,1,4
Vertical_Profile_Of_Separation,Separation_Aircraft,598,35,5,,VL598_5_0_1_1,,0,1,5
RA_Type,Separation_Aircraft,610,35,5,,VL610_5_0_1_1,,0,1,6
Pilot_Response_To_RA,Separation_Aircraft,611,35,5,,VL611_5_0_1_1,,0,1,7
RA_Classification,Separation_Aircraft,613,35,5,,VL613_5_0_1_1,,0,1,8
Traffic_Info_Quality,Separation_Traffic_Info_Type_Quality,595,36,5,,VL595_5_0_1_1,,0,1,0
Dangerous_Good,Dangerous_Goods,688,43,12,,VL1086_12_0_1_3,,0,1,0
Origin_Of_Goods,Dangerous_Goods,1051,43,1,,,,0,1,1
Air_Waybill_Consignment_Tracking_Number,Dangerous_Goods,1052,43,1,,,,0,1,2
Shipper_Name,Dangerous_Goods,1053,43,1,,,,0,1,3
Total_Number_Of_Packages_In_Consignment,Dangerous_Goods,1054,43,3,,,,0,1,4
Subsidiary_Risk,Dangerous_Goods,1055,43,5,,VL1157_5_0_1_1,,0,-1,5
Type_Of_Outer_Packaging,Dangerous_Goods,1056,43,5,,VL1158_5_0_1_1,,0,1,6
Packing_Group_Class_7_Category,Dangerous_Goods,1057,43,5,,VL1159_5_0_1_1,,0,1,7
Number_Of_Inner_Packages,Dangerous_Goods,1058,43,3,,,,0,1,8
Type_Of_Inner_Packaging,Dangerous_Goods,1059,43,5,,VL1160_5_0_1_1,,0,-1,9
Quantity_Per_Inner_Packaging,Dangerous_Goods,1060,43,3,,,,0,1,10
Entity_Involved,Runway_Incursion,741,47,12,,VL1077_12_0_1_1,,0,-1,0
Report_Identification,Reporting_History,438,53,1,,,,0,1,0
Reporting_Entity,Reporting_History,447,53,12,,VL1183_12_0_1_4,,0,1,1
Report_Source,Reporting_History,476,53,5,,VL476_5_0_1_1,,0,1,2
Reporting_Form_Type,Reporting_History,495,53,12,,VL1021_12_0_1_3,,0,1,3
Report_Status,Reporting_History,800,53,5,,VL1117_5_0_1_1,,0,1,4
Reporting_Date,Reporting_History,801,53,14,,,,0,1,5
Report,Reporting_History,802,53,10,,,,0,-1,6
Parties_Informed,Reporting_History,1064,53,12,,VL1167_12_0_1_1,,0,-1,7
Risk_Classification,Reporting_History,1065,53,1,,,,0,1,8
Risk_Methodology,Reporting_History,1066,53,1,,,,0,1,9
Description_Investigation,Reporting_History,1067,53,6,,,,0,1,10
Risk_Assessment,Reporting_History,1068,53,6,,,,0,1,11
Corrective_Actions,Reporting_History,1069,53,6,,,,0,1,12
Conclusions,Reporting_History,1070,53,6,,,,0,1,13
Tracking_Sheet_Number,Reporting_History,1071,53,1,,,,0,-1,14
Report_Version,Reporting_History,1084,53,1,,,,0,1,15
Other_Report_Inform,Reporting_History,1085,53,6,,,,0,1,16
Export_Control,Reporting_History,1086,53,5,,VL1175_5_0_1_1,,0,1,17
Reporter_S_Language,Reporting_History,1091,53,5,,VL1097_5_0_1_1,,0,1,18
Reporter_S_Description,Reporting_History,1092,53,6,,,,0,1,19
Risk_Grade,Risk_Assessment,718,59,5,,VL1103_5_0_1_2,,0,1,0
Risk_Method,Risk_Assessment,939,59,12,,VL1136_12_0_1_1,,0,1,1
Risk_Level,Risk_Assessment,940,59,4,,,,0,1,2
ERCS_Row_Score,Risk_Assessment,1093,59,5,,VL1185_5_0_1_1,,0,1,3
ERCS_Column_Score,Risk_Assessment,1094,59,3,,,,0,1,4
ERCS_Score,Risk_Assessment,1095,59,5,,VL1186_5_0_1_1,,0,1,5
ERCS_Numerical_Equivalent_Score,Risk_Assessment,1096,59,4,,,,0,1,6
Key_Risk_Area,Risk_Assessment,1097,59,5,,VL1187_5_0_1_2,,0,1,7
Aircraft_Equipment_And_Infrastructure,Risk_Assessment,1098,59,5,,VL1188_5_0_1_1,,0,1,8
Tactical_Planning,Risk_Assessment,1099,59,5,,VL1188_5_0_1_1,,0,1,9
Regulations_Procedures_And_Compliance,Risk_Assessment,1100,59,5,,VL1188_5_0_1_1,,0,1,10
Situational_Awareness_And_Actions,Risk_Assessment,1101,59,5,,VL1188_5_0_1_1,,0,1,11
Warning_System_Operation_And_Compliance,Risk_Assessment,1102,59,5,,VL1188_5_0_1_1,,0,1,12
Recovery_Action,Risk_Assessment,1103,59,5,,VL1188_5_0_1_1,,0,1,13
Protections,Risk_Assessment,1104,59,5,,VL1188_5_0_1_1,,0,1,14
Unspecified,Risk_Assessment,1105,59,5,,VL1188_5_0_1_1,,0,1,15
ERCS_Calculated_B_S,Risk_Assessment,1106,59,3,,,,0,1,16
ERCS_Final_B_S,Risk_Assessment,1107,59,3,,,,0,1,17
ERCS_Risk_Grade,Risk_Assessment,1109,59,5,,VL1103_5_0_1_2,,0,1,18
ERCS_Comments,Risk_Assessment,1110,59,6,,,,0,1,19
